"""wooly bully""","""2XkuSbp5say8nZW8g6156Z"""
"""i cant help myself sugar pie honey bunch""","""0GiWjFOVWv3mVaNCxkgqlq"""
"""i cant get no satisfaction""","""2PzU4IB8Dr6mxV3lHuaG34"""
"""you were on my mind""","""36ckFm0oicmvX8bWEErIHd"""
"""youve lost that lovin feelin""","""5GMw6X6BbCDGO9gApQYRSa"""
"""downtown""","""4AK7JaKbg3LLVszqndBXOF"""
"""help""","""7DD7eSuYSC5xk2ArU62esN"""
"""cant you hear my heart beat""","""3Qj9eV3K9SliziHK6EQPDa"""
"""crying in the chapel""","""1Vzr9AOdHw65UHoK1Vuxls"""
"""my girl""","""6jWkZvd1URGktyTTwcpPpB"""
"""help me rhonda""","""4qvdAp6MMl59RjaTOti9QD"""
"""king of the road""","""36Ew5C2l5r1GAZifRhp4YG"""
"""the birds and the bees""","""4VRBVIN8KRP1HhMhJPpc5s"""
"""hold me thrill me kiss me""","""5XPwkZ7vNxeidpNLAkwtFp"""
"""shotgun""","""6VzM9C7CXyn1BQdgTJVqDx"""
"""i got you babe""","""2SWBfqj1FrS8t8z56G55rP"""
"""this diamond ring""","""7n9i7x2fXDmgCsGExP5CrW"""
"""the in crowd""","""3l2pObHGPzGmgRWDlAbUJN"""
"""mrs brown youve got a lovely daughter""","""1GJCJpKYfzRUsYnSRy4Mfz"""
"""stop in the name of love""","""5yfrc6CGOXxDWx3nGUDcNj"""
"""unchained melody""","""1jFhnVoJkcB4lf9tT0rSZS"""
"""silhouettes""","""4JxKHEtoBlaw6GlJPJYQo8"""
"""ill never find another you""","""6Ln9F9lZNMgV5Ht87z9Bd0"""
"""cara mia""","""0Arrnl9EB7LtzPISpNBQQf"""
"""mr tambourine man""","""2HCaIYjkvWSZzaSKUoOh3d"""
"""cast your fate to the wind""","""38KTIenSEnoGNGLUrYdFLV"""
"""yes im ready""","""2gZpW5pTZkimGG98loFSl2"""
"""whats new pussycat""","""4dx3Lqdq4WvUWx23d04tOl"""
"""eve of destruction""","""1x95pWB3KeK3evKa1VrW6e"""
"""hang on sloopy""","""0i7O5MtSTXvR4BEY7stpjF"""
"""ticket to ride""","""7CZiDzGVjUssMSOXrDNYHL"""
"""red roses for a blue lady""","""4GXXOBUEpCr58TFHIkLrZ0"""
"""papas got a brand new bag""","""6v4gV9s0pnwKbmF1yk5knO"""
"""game of love""","""0jUfBCWrfrZGueD8MjvgMo"""
"""the name game""","""1wQjtqCtUqvaV6CjPKIGdc"""
"""i know a place""","""7dQP6ESUYUMYUAnGkdyjXi"""
"""back in my arms again""","""1cY6UYbPf4plUm3fpLZGWF"""
"""baby im yours""","""5GInJChhrHyXmwb4tQFJJG"""
