0,3tpJtzZm4Urb0n2ITN5mwF,Full Metal Jacket (Original Motion Picture Soundtrack),album,0LyfQWJT6nXafLPZqxe9Of,Various Artists,55.0,1987-08-04,spotify:album:3tpJtzZm4Urb0n2ITN5mwF
1,7pSmOdR07xSmTJBcwKKF0v,The Ultimate Collection: Four Tops,album,7fIvjotigTGWqjIz6EP1i4,Four Tops,58.0,1997-01-01,spotify:album:7pSmOdR07xSmTJBcwKKF0v
2,2Q5MwpTmtjscaS34mJFXQQ,Out Of Our Heads (Remastered),album,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,62.0,1965-07-30,spotify:album:2Q5MwpTmtjscaS34mJFXQQ
3,6DODxzDGUinwQpWem6HvBc,You Were On My Mind,album,1XICntAIOLc3OPozkykv39,We Five,29.0,2010-01-01,spotify:album:6DODxzDGUinwQpWem6HvBc
4,5CFmNamq1ceXn8RFJ9i7p6,The Very Best Of The Righteous Brothers - Unchained Melody,album,4b0WsB47XCa9F83BmwQ7WX,The Righteous Brothers,61.0,1990,spotify:album:5CFmNamq1ceXn8RFJ9i7p6
5,6hBP1ZDOKNjjaPODomhGmN,Best Of,album,6nKqt1nbSBEq3iUXD1Xgz8,Petula Clark,45.0,1996-04-22,spotify:album:6hBP1ZDOKNjjaPODomhGmN
6,0PT5m6hwPRrpBwIHVnvbFX,Help! (Remastered),album,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,67.0,1965-08-06,spotify:album:0PT5m6hwPRrpBwIHVnvbFX
7,5CZ4DbpDx5fLltxSBxSZU1,I'm Into Something Good,compilation,48YxSlb23RAaCd4RyHcV9V,Herman's Hermits,31.0,2010-07-26,spotify:album:5CZ4DbpDx5fLltxSBxSZU1
8,0QVoYzGd1p8Z3ohEaM0lsc,Elvis 30 #1 Hits,compilation,43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,68.0,2002,spotify:album:0QVoYzGd1p8Z3ohEaM0lsc
9,7C4vMPQR8KcbZv4e2ZI0lc,The Temptations Sing Smokey,album,3RwQ26hR2tJtA8F9p2n7jG,The Temptations,66.0,1965-01-01,spotify:album:7C4vMPQR8KcbZv4e2ZI0lc
10,6cSZPNsr3tMEHo5QrMjk1F,50 Big Ones: Greatest Hits,compilation,3oDbviiivRWhXwIE8hxkVV,The Beach Boys,59.0,2012-10-09,spotify:album:6cSZPNsr3tMEHo5QrMjk1F
11,268N6QJQm0WSKVO99vKGjt,Best Of Roger Miller,album,1RP2UpEaRzkF0Id3JigqD8,Roger Miller,49.0,1991-09-03,spotify:album:268N6QJQm0WSKVO99vKGjt
12,5yQ2c4oT95UQRxV7J9n3gO,Pop Megahits Of The 1960's - Volume 10,album,0LyfQWJT6nXafLPZqxe9Of,Various Artists,20.0,2005,spotify:album:5yQ2c4oT95UQRxV7J9n3gO
13,2Bw48A6OMSip5lbQW5CaUg,The Best Of Mel Carter,album,3CgsVtt7tP8iduzkTCfel9,Mel Carter,38.0,1996-05-28,spotify:album:2Bw48A6OMSip5lbQW5CaUg
14,4aDsONCBMpZ6AAjZctYEYS,Shotgun,album,1rHh0AI30JhKrbzKIFjFNd,Jr. Walker & The All Stars,49.0,1965-01-01,spotify:album:4aDsONCBMpZ6AAjZctYEYS
15,5QzkzMcvCJSk30pQS2mqia,The Beat Goes On: Best Of (US Release),album,71lGEtP9qYXDsSXjfexTqO,Sonny & Cher,56.0,2005-02-08,spotify:album:5QzkzMcvCJSk30pQS2mqia
16,5d5JSnI9P9ADeXR4qcx7xl,The Best Of Gary Lewis And The Playboys,album,0XTxadWXVyfB8eTIYOjMYj,Gary Lewis & The Playboys,43.0,2011-01-21,spotify:album:5d5JSnI9P9ADeXR4qcx7xl
17,2uTk68gta8bfoIS5cmO7zd,The In Crowd,album,4jZOiPysIzYxbDcDEOZmhu,Ramsey Lewis Trio,30.0,1990-01-01,spotify:album:2uTk68gta8bfoIS5cmO7zd
18,6TbZXMXvUGFqx3opETEAuW,Herman's Hermits Retrospective (Remastered),album,48YxSlb23RAaCd4RyHcV9V,Herman's Hermits,47.0,2004-01-01,spotify:album:6TbZXMXvUGFqx3opETEAuW
19,5Z9hrH7aGLMT9s6lNYx2HH,More Hits By The Supremes - Expanded Edition,album,57bUPid8xztkieZfS7OlEV,The Supremes,48.0,1965-07-23,spotify:album:5Z9hrH7aGLMT9s6lNYx2HH
20,5CFmNamq1ceXn8RFJ9i7p6,The Very Best Of The Righteous Brothers - Unchained Melody,album,4b0WsB47XCa9F83BmwQ7WX,The Righteous Brothers,61.0,1990,spotify:album:5CFmNamq1ceXn8RFJ9i7p6
21,6TbZXMXvUGFqx3opETEAuW,Herman's Hermits Retrospective (Remastered),album,48YxSlb23RAaCd4RyHcV9V,Herman's Hermits,47.0,2004-01-01,spotify:album:6TbZXMXvUGFqx3opETEAuW
22,2bhcZbOcrAFH69kD3TLFB0,The Ultimate Collection,album,7dedWAqd0IKTdCiqiadUrV,The Seekers,47.0,2007-03-26,spotify:album:2bhcZbOcrAFH69kD3TLFB0
23,0LMJo3p9QqRjaap3qvlTY6,Come A Little Bit Closer,album,0DAqhikcMKLo2lPADVz2fs,Jay & The Americans,62.0,1964,spotify:album:0LMJo3p9QqRjaap3qvlTY6
24,0pkrqPjeq9K5KD0hFqAKNa,Mr. Tambourine Man,album,1PCZpxHJz7WAMF8EEq8bfc,The Byrds,57.0,1965-06-21,spotify:album:0pkrqPjeq9K5KD0hFqAKNa
25,0sJFM46QZlwzO4y3dvyJsI,Cast Your Fate to the Wind,album,0uPfErG0KkEmtYg4y3O7LC,Sounds Orchestral,23.0,1962-01-01,spotify:album:0sJFM46QZlwzO4y3dvyJsI
26,7ujKaJ1E5N76H4y9hyhTdj,Yes I'm Ready,album,5PmZd7YOaUgQwhOja44fmZ,Barbara Mason,43.0,1965-01-01,spotify:album:7ujKaJ1E5N76H4y9hyhTdj
27,6TiIQSWfDgwQTg1aycqAsP,The Best Of Tom Jones 20th Century Masters The Millennium Collection,album,1T0wRBO0CK0vK8ouUMqEl5,Tom Jones,54.0,2000-01-01,spotify:album:6TiIQSWfDgwQTg1aycqAsP
28,6smmFpDUzGZnlRCckORkXW,The Best Of,album,6xdkfNRMtBzeu7t4wyum2X,Barry McGuire,39.0,2009-01-01,spotify:album:6smmFpDUzGZnlRCckORkXW
29,17dRh7ma3OpZSdmWc5LT1H,Hang On Sloopy: The Best Of The McCoys,album,6etIM3JbzGPxTdfNWWfsVH,The McCoys,45.0,1995-06-06,spotify:album:17dRh7ma3OpZSdmWc5LT1H
30,0PT5m6hwPRrpBwIHVnvbFX,Help! (Remastered),album,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,67.0,1965-08-06,spotify:album:0PT5m6hwPRrpBwIHVnvbFX
31,4cXY2pebOf073jBBH7zoza,Blue Midnight (Remastered),album,2s6JabvZdqVQhfOsaxCSFX,Bert Kaempfert,25.0,1964-01-01,spotify:album:4cXY2pebOf073jBBH7zoza
32,6MjOv3BeIjmht2ymtRih3s,20 All-Time Greatest Hits!,album,7GaxyUddsPok8BuhxN6OUW,James Brown,62.0,1991,spotify:album:6MjOv3BeIjmht2ymtRih3s
33,6SuomVwU0WAHkBi1Y3dS68,The Collection,album,2VkASgJ3IjpMHG5aYXx4t2,Wayne Fontana & The Mindbenders,24.0,1964-01-01,spotify:album:6SuomVwU0WAHkBi1Y3dS68
34,3X36x0GzMLSBO5jo7stzhp,The Name Game,album,4GO3ufZJ7YsEnQ3PiML2Dg,Shirley Ellis,29.0,1965-01-01,spotify:album:3X36x0GzMLSBO5jo7stzhp
35,6hBP1ZDOKNjjaPODomhGmN,Best Of,album,6nKqt1nbSBEq3iUXD1Xgz8,Petula Clark,45.0,1996-04-22,spotify:album:6hBP1ZDOKNjjaPODomhGmN
36,5Z9hrH7aGLMT9s6lNYx2HH,More Hits By The Supremes - Expanded Edition,album,57bUPid8xztkieZfS7OlEV,The Supremes,48.0,1965-07-23,spotify:album:5Z9hrH7aGLMT9s6lNYx2HH
37,1RHPDIiqVdvY2zIyWJF9IH,The Bridges Of Madison County Original Sound Track,album,0LyfQWJT6nXafLPZqxe9Of,Various Artists,52.0,2005-09-13,spotify:album:1RHPDIiqVdvY2zIyWJF9IH
38,2SMBIc9VqCmLvWAd9srlSx,The Best of The Kingsmen,compilation,2iIn8H3l2NNBNHFpYKWbfo,The Kingsmen,56.0,2006-01-31,spotify:album:2SMBIc9VqCmLvWAd9srlSx
39,5hrRtvlJL4JBUX5dIrwT1b,"Hush, Hush Sweet Charlotte",album,4nZN9kln8toEzOifhWG2uF,Patti Page,35.0,1965,spotify:album:5hrRtvlJL4JBUX5dIrwT1b
40,6YabPKtZAjxwyWbuO9p4ZD,Highway 61 Revisited,album,74ASZWbe4lXaubB36ztrGX,Bob Dylan,67.0,1965-08-30,spotify:album:6YabPKtZAjxwyWbuO9p4ZD
41,3y2gHDcfKpQG21SutK6ErH,Oldies 60's,album,0LyfQWJT6nXafLPZqxe9Of,Various Artists,50.0,2017-08-10,spotify:album:3y2gHDcfKpQG21SutK6ErH
42,2xjQOixp5YLkhVDcAh8MY0,You'll Never Walk Alone (The EMI Years 1963-1966),album,3UmBeGyNwr4iDWi1vTxWi8,Gerry & The Pacemakers,52.0,2008-02-11,spotify:album:2xjQOixp5YLkhVDcAh8MY0
43,5CFmNamq1ceXn8RFJ9i7p6,The Very Best Of The Righteous Brothers - Unchained Melody,album,4b0WsB47XCa9F83BmwQ7WX,The Righteous Brothers,61.0,1990,spotify:album:5CFmNamq1ceXn8RFJ9i7p6
44,5NjUJmfbCRtZQlWBongnT4,Greatest Hits,album,3TiISqKS6ESlMQ4WFfZJw2,Johnny Rivers,44.0,1998-01-01,spotify:album:5NjUJmfbCRtZQlWBongnT4
45,,,,,,,,
46,62UmCTr69BJK8zHNH67KX5,The Genius Of Jankowski!,album,0YJh7LL1SsLgWfSXjIFbfg,Horst Jankowski,19.0,1964-03-20,spotify:album:62UmCTr69BJK8zHNH67KX5
47,0lYmtEuL0fLXPP4XKr5O8K,The Yardbirds Story - Pt. 3 - 1965/66 - Big Hits & America Calling,compilation,2lxX1ivRYp26soIavdG9bX,The Yardbirds,60.0,2002-05-08,spotify:album:0lYmtEuL0fLXPP4XKr5O8K
48,13f845bYjx8MUVF2bl1uJ0,Summer Days (And Summer Nights) [2001 - Remaster],album,3oDbviiivRWhXwIE8hxkVV,The Beach Boys,54.0,1965-07-05,spotify:album:13f845bYjx8MUVF2bl1uJ0
49,0sz0hfcCIwoWkI9BEuf9rR,The Very Best Of The Moody Blues,compilation,5BcZ22XONcRoLhTbZRuME1,The Moody Blues,42.0,1996-01-01,spotify:album:0sz0hfcCIwoWkI9BEuf9rR
50,1Z93NZrfSuKN9M02WWfJL3,Playlist: The Best Of Shirley Bassey,album,090VebphoycdEyH165iMqc,Shirley Bassey,46.0,2016-05-06,spotify:album:1Z93NZrfSuKN9M02WWfJL3
51,0Bf7v7RTkbrXDgs3T2SWh7,Down in the Boondocks,album,4WFTfNjxQYskBioYk39r9n,Billy Joe Royal,26.0,1965,spotify:album:0Bf7v7RTkbrXDgs3T2SWh7
