artist_id,artist_name,followers,popularity
05sRO4JdAtJGyZQOTb6kSL,Sam The Sham & The Pharaohs,7442.0,47.0
7fIvjotigTGWqjIz6EP1i4,Four Tops,210016.0,68.0
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,3138556.0,84.0
1XICntAIOLc3OPozkykv39,We Five,1555.0,27.0
4b0WsB47XCa9F83BmwQ7WX,The Righteous Brothers,83381.0,64.0
6nKqt1nbSBEq3iUXD1Xgz8,Petula Clark,42291.0,52.0
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,4789677.0,89.0
48YxSlb23RAaCd4RyHcV9V,Herman's Hermits,60626.0,55.0
43ZHCT0cAZBISjO8DG9PnE,Elvis Presley,1704220.0,82.0
3RwQ26hR2tJtA8F9p2n7jG,The Temptations,633213.0,73.0
3oDbviiivRWhXwIE8hxkVV,The Beach Boys,883066.0,76.0
1RP2UpEaRzkF0Id3JigqD8,Roger Miller,34744.0,57.0
1gVvCzqQy5epTJcFNwWJ37,Jewel Akens,354.0,24.0
3CgsVtt7tP8iduzkTCfel9,Mel Carter,1436.0,34.0
1rHh0AI30JhKrbzKIFjFNd,Jr. Walker & The All Stars,31566.0,58.0
71lGEtP9qYXDsSXjfexTqO,Sonny & Cher,43704.0,57.0
0XTxadWXVyfB8eTIYOjMYj,Gary Lewis & The Playboys,17084.0,43.0
4jZOiPysIzYxbDcDEOZmhu,Ramsey Lewis Trio,7469.0,43.0
48YxSlb23RAaCd4RyHcV9V,Herman's Hermits,60626.0,55.0
57bUPid8xztkieZfS7OlEV,The Supremes,367058.0,70.0
4b0WsB47XCa9F83BmwQ7WX,The Righteous Brothers,83381.0,64.0
48YxSlb23RAaCd4RyHcV9V,Herman's Hermits,60626.0,55.0
7dedWAqd0IKTdCiqiadUrV,The Seekers,24917.0,51.0
0DAqhikcMKLo2lPADVz2fs,Jay & The Americans,14612.0,58.0
1PCZpxHJz7WAMF8EEq8bfc,The Byrds,181677.0,66.0
0uPfErG0KkEmtYg4y3O7LC,Sounds Orchestral,251.0,21.0
5PmZd7YOaUgQwhOja44fmZ,Barbara Mason,19913.0,46.0
1T0wRBO0CK0vK8ouUMqEl5,Tom Jones,191202.0,64.0
6xdkfNRMtBzeu7t4wyum2X,Barry McGuire,6376.0,45.0
6etIM3JbzGPxTdfNWWfsVH,The McCoys,5122.0,43.0
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,4789677.0,89.0
2s6JabvZdqVQhfOsaxCSFX,Bert Kaempfert,16041.0,51.0
7GaxyUddsPok8BuhxN6OUW,James Brown,742660.0,71.0
2VkASgJ3IjpMHG5aYXx4t2,Wayne Fontana & The Mindbenders,2639.0,34.0
4GO3ufZJ7YsEnQ3PiML2Dg,Shirley Ellis,3119.0,36.0
6nKqt1nbSBEq3iUXD1Xgz8,Petula Clark,42291.0,52.0
57bUPid8xztkieZfS7OlEV,The Supremes,367058.0,70.0
2UocIcNiHj5n4tj1CnBzRq,Barbara Lewis,12206.0,50.0
2iIn8H3l2NNBNHFpYKWbfo,The Kingsmen,10684.0,51.0
4nZN9kln8toEzOifhWG2uF,Patti Page,17884.0,48.0
74ASZWbe4lXaubB36ztrGX,Bob Dylan,1762168.0,79.0
1wCc2Wgga1H8C7u57pcqYk,Freddie & The Dreamers,11418.0,35.0
3UmBeGyNwr4iDWi1vTxWi8,Gerry & The Pacemakers,35223.0,52.0
4b0WsB47XCa9F83BmwQ7WX,The Righteous Brothers,83381.0,64.0
3TiISqKS6ESlMQ4WFfZJw2,Johnny Rivers,30605.0,48.0
48YxSlb23RAaCd4RyHcV9V,Herman's Hermits,60626.0,55.0
0YJh7LL1SsLgWfSXjIFbfg,Horst Jankowski,911.0,30.0
2lxX1ivRYp26soIavdG9bX,The Yardbirds,154933.0,59.0
3oDbviiivRWhXwIE8hxkVV,The Beach Boys,883066.0,76.0
5BcZ22XONcRoLhTbZRuME1,The Moody Blues,181708.0,64.0
090VebphoycdEyH165iMqc,Shirley Bassey,73119.0,55.0
4WFTfNjxQYskBioYk39r9n,Billy Joe Royal,5741.0,36.0
4GxVmha4ELBwUE4bPyChzS,Glenn Yarbrough,1951.0,28.0
2HBbky0Z08ZcCKVsXWbNE4,The Dave Clark Five,17694.0,31.0
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,4789678.0,89.0
4DQj1q0unpi9KF8jO1Wqks,The Beau Brummels,6962.0,36.0
7GYdSOyUNp70L6kXepVAzJ,Ian Whitcomb,276.0,15.0
3koiLjNrgRTNbOwViDipeA,Marvin Gaye,1428546.0,78.0
0XTxadWXVyfB8eTIYOjMYj,Gary Lewis & The Playboys,17084.0,43.0
1SQRv42e4PjEYfPhS0Tk9E,The Kinks,548083.0,72.0
0XTxadWXVyfB8eTIYOjMYj,Gary Lewis & The Playboys,17084.0,43.0
1SQRv42e4PjEYfPhS0Tk9E,The Kinks,548083.0,72.0
0iVed2Qu7dmL0pIYCj1Xw8,Jackie DeShannon,7986.0,48.0
1T0wRBO0CK0vK8ouUMqEl5,Tom Jones,191202.0,64.0
3A2UXqQgMDJ3YNvLPyX5NW,Sir Douglas Quintet,4348.0,37.0
6hnWRPzGGKiapVX1UCdEAC,Sam Cooke,455354.0,73.0
48YxSlb23RAaCd4RyHcV9V,Herman's Hermits,60626.0,55.0
1Pe5hlKMCTULjosqZ6KanP,Martha Reeves & The Vandellas,73141.0,62.0
2lxX1ivRYp26soIavdG9bX,The Yardbirds,154933.0,59.0
4QmkLL9JOqM9dusHS1Hghe,The Searchers,33257.0,51.0
34Ym7wEA9olyXIQ5eRAZjq,Dickey Lee,830.0,27.0
71lGEtP9qYXDsSXjfexTqO,Sonny & Cher,43704.0,57.0
2VIoWte1HPDbZ2WqHd2La7,The Turtles,105054.0,64.0
2jgPkn6LuUazBoBk6vvjh5,The Zombies,152777.0,63.0
6lHC2EQMEMZiEmSfFloarn,Peter And Gordon,11690.0,44.0
26LmRGHptm85F27BZwOSt7,Vic Dana,257.0,22.0
6VcPriC5JFrXJdtZ7OQjc4,Patty Duke,300.0,15.0
6TKOZZDd5uV5KnyC5G4MUt,Smokey Robinson & The Miracles,227329.0,63.0
4cPHsZM98sKzmV26wlwD2W,Brenda Lee,54325.0,63.0
2HBbky0Z08ZcCKVsXWbNE4,The Dave Clark Five,17694.0,31.0
5gPEo032lzARtzuVqJIm9o,Bobby Goldsboro,16805.0,48.0
6lHC2EQMEMZiEmSfFloarn,Peter And Gordon,11690.0,44.0
7fIvjotigTGWqjIz6EP1i4,Four Tops,210016.0,68.0
4GpIeE34rBNFppvYsWle9c,The Fortunes,5795.0,41.0
5xmR290ICxOdWvyGENs2Aq,Joe Tex,88.0,1.0
3ICflSq6ZgYAIrm2CTkfVP,The Animals,435363.0,71.0
4DQj1q0unpi9KF8jO1Wqks,The Beau Brummels,6962.0,36.0
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,3138558.0,84.0
7CCn4PFRRRZF127jtCBAUe,The Lovin' Spoonful,71397.0,58.0
72OaDtakiy6yFqkt4TsiFt,Cher,388308.0,70.0
3PF1KBeHYb14yKgsiE693V,Little Anthony & The Imperials,15841.0,50.0
4NMkJqM1SsQP3gk81cqk6K,The Strangeloves,1172.0,31.0
6TKOZZDd5uV5KnyC5G4MUt,Smokey Robinson & The Miracles,227329.0,63.0
4ui9JwXE5MHylLzpsoiEhr,Sonny Bono,380.0,21.0
5wKpYtFnMb1OgGxuJsmrPY,Roy Head,326.0,12.0
6eVCRmRG2HcfL4yx77A9WK,Jack Jones,11969.0,46.0
3lcfZLW21dTfmTLBmae1eR,"Dino, Desi & Billy",142.0,10.0
3ahRanZQnsZmAVMNqRsimM,The Ad Libs,466.0,25.0
3c8WoNjBfyLJhFObE6RHgs,Del Shannon,38662.0,53.0
3koiLjNrgRTNbOwViDipeA,Marvin Gaye,1428546.0,78.0
,,,
2kuNswDC82PL9xRbfaZJaS,The Association,29738.0,51.0
4b0WsB47XCa9F83BmwQ7WX,The Righteous Brothers,83381.0,64.0
6ur3JzvQ4J4Reb2eKjptEk,The Legendary Four Tops,147.0,0.0
,,,
320EPCSEezHt1rtbfwH6Ck,The Monkees,190887.0,66.0
1bs7HoMkSyQwcobCpE9KpN,The Mamas & The Papas,234919.0,67.0
57bUPid8xztkieZfS7OlEV,The Supremes,367058.0,70.0
3TiISqKS6ESlMQ4WFfZJw2,Johnny Rivers,30605.0,48.0
1bs7HoMkSyQwcobCpE9KpN,The Mamas & The Papas,234919.0,67.0
7CCn4PFRRRZF127jtCBAUe,The Lovin' Spoonful,71397.0,58.0
55CCS64lPz88twUDVquU1u,Roger Williams,4804.0,45.0
3IZrrNonYELubLPJmqOci2,Nancy Sinatra,137221.0,65.0
0hF0PwB04hnXfYMiZWfJzy,Jimmy Ruffin,36933.0,54.0
1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,1839748.0,82.0
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,4789679.0,89.0
5X3TuTi9OIsJXMGxPwTKM2,The Young Rascals,18655.0,48.0
4UD9XOagGdElo7BpVzLltZ,New Vaudeville Band,648.0,18.0
01hRNr3yF5bYnPq4wZ88iI,Tommy James & The Shondells,41738.0,56.0
3rRmDmzPcAFwcUDvG5gBqO,Percy Sledge,112115.0,60.0
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,3138558.0,84.0
6nKqt1nbSBEq3iUXD1Xgz8,Petula Clark,42291.0,52.0
5bLcI9Jo6RyrrHzG9veVyn,Lou Christie,6900.0,37.0
57xdnSVt4ahJCIXYLieQ25,The Troggs,51720.0,53.0
