"""wooly bully""",1965.0,0.713,0.582,140867.0,0.575,"""2XkuSbp5say8nZW8g6156Z""",3.66e-06,7.0,0.151,-11.89,1.0,0.0529,140.601,4.0,0.559
"""i cant help myself sugar pie honey bunch""",1965.0,0.119,0.701,165867.0,0.8,"""0GiWjFOVWv3mVaNCxkgqlq""",0.0,0.0,0.0831,-2.936,1.0,0.0286,127.752,4.0,0.968
"""i cant get no satisfaction""",1965.0,0.0348,0.725,222813.0,0.853,"""2PzU4IB8Dr6mxV3lHuaG34""",0.127,2.0,0.196,-7.842,1.0,0.0353,136.282,4.0,0.897
"""you were on my mind""",1965.0,0.485,0.51,155960.0,0.565,"""36ckFm0oicmvX8bWEErIHd""",0.0,1.0,0.0476,-8.105,0.0,0.05,143.381,4.0,0.683
"""youve lost that lovin feelin""",1965.0,0.504,0.39,225227.0,0.309,"""5GMw6X6BbCDGO9gApQYRSa""",0.0,1.0,0.0863,-14.12,1.0,0.0265,94.444,4.0,0.452
"""downtown""",1965.0,0.81,0.481,185400.0,0.589,"""4AK7JaKbg3LLVszqndBXOF""",0.0,4.0,0.249,-10.471,1.0,0.0461,117.699,4.0,0.647
"""help""",1965.0,0.188,0.534,139560.0,0.725,"""7DD7eSuYSC5xk2ArU62esN""",0.0,6.0,0.0994,-7.576,0.0,0.0332,95.003,4.0,0.761
"""cant you hear my heart beat""",1965.0,0.0488,0.532,130813.0,0.636,"""3Qj9eV3K9SliziHK6EQPDa""",0.00089,9.0,0.101,-11.23,1.0,0.0373,147.128,4.0,0.883
"""crying in the chapel""",1965.0,0.94,0.404,143267.0,0.246,"""1Vzr9AOdHw65UHoK1Vuxls""",3e-05,11.0,0.297,-13.812,1.0,0.041,71.274,4.0,0.287
"""my girl""",1965.0,0.625,0.579,165000.0,0.419,"""6jWkZvd1URGktyTTwcpPpB""",0.0,0.0,0.0981,-10.72,1.0,0.0346,104.564,4.0,0.681
"""help me rhonda""",1965.0,0.103,0.52,167507.0,0.709,"""4qvdAp6MMl59RjaTOti9QD""",1.06e-06,1.0,0.167,-7.482,1.0,0.0332,139.672,4.0,0.84
"""king of the road""",1965.0,0.51,0.731,143373.0,0.204,"""36Ew5C2l5r1GAZifRhp4YG""",2.02e-05,11.0,0.0894,-18.934,1.0,0.0727,121.817,4.0,0.75
"""the birds and the bees""",1965.0,0.189,0.756,122733.0,0.538,"""4VRBVIN8KRP1HhMhJPpc5s""",0.00159,6.0,0.0421,-9.826,1.0,0.0336,112.129,4.0,0.972
"""hold me thrill me kiss me""",1965.0,0.74,0.476,149533.0,0.575,"""5XPwkZ7vNxeidpNLAkwtFp""",0.0,1.0,0.147,-6.522,0.0,0.0383,111.135,3.0,0.491
"""shotgun""",1965.0,0.181,0.747,176627.0,0.671,"""6VzM9C7CXyn1BQdgTJVqDx""",5.24e-06,1.0,0.061,-5.737,1.0,0.0332,120.98,4.0,0.659
"""i got you babe""",1965.0,0.246,0.621,193840.0,0.708,"""2SWBfqj1FrS8t8z56G55rP""",2e-06,6.0,0.143,-9.057,1.0,0.0259,110.533,3.0,0.652
"""this diamond ring""",1965.0,0.332,0.628,136800.0,0.609,"""7n9i7x2fXDmgCsGExP5CrW""",0.0,10.0,0.136,-10.635,0.0,0.0278,132.596,4.0,0.762
"""the in crowd""",1965.0,0.5,0.664,351427.0,0.513,"""3l2pObHGPzGmgRWDlAbUJN""",0.0525,7.0,0.961,-19.477,1.0,0.164,141.638,4.0,0.629
"""mrs brown youve got a lovely daughter""",1965.0,0.746,0.659,167480.0,0.465,"""1GJCJpKYfzRUsYnSRy4Mfz""",0.00458,0.0,0.0963,-9.53,1.0,0.0572,148.894,4.0,0.89
"""stop in the name of love""",1965.0,0.508,0.628,172933.0,0.593,"""5yfrc6CGOXxDWx3nGUDcNj""",0.0,0.0,0.104,-7.515,1.0,0.0279,114.944,4.0,0.457
"""unchained melody""",1965.0,0.517,0.367,215840.0,0.215,"""1jFhnVoJkcB4lf9tT0rSZS""",0.0,0.0,0.618,-16.652,1.0,0.0288,98.742,3.0,0.255
"""silhouettes""",1965.0,0.671,0.547,119107.0,0.623,"""4JxKHEtoBlaw6GlJPJYQo8""",0.0,7.0,0.313,-8.399,1.0,0.03,112.704,4.0,0.873
"""ill never find another you""",1965.0,0.75,0.567,162320.0,0.672,"""6Ln9F9lZNMgV5Ht87z9Bd0""",0.0837,10.0,0.367,-7.666,1.0,0.0336,126.509,4.0,0.795
"""cara mia""",1965.0,0.29,0.366,153160.0,0.707,"""0Arrnl9EB7LtzPISpNBQQf""",3.17e-05,0.0,0.505,-9.392,1.0,0.046,127.701,4.0,0.505
"""mr tambourine man""",1965.0,0.513,0.456,149467.0,0.47,"""2HCaIYjkvWSZzaSKUoOh3d""",3.76e-05,2.0,0.444,-9.564,1.0,0.0294,120.336,4.0,0.639
"""cast your fate to the wind""",1965.0,0.394,0.559,195000.0,0.31,"""38KTIenSEnoGNGLUrYdFLV""",0.794,8.0,0.108,-13.499,1.0,0.0408,128.691,4.0,0.338
"""yes im ready""",1965.0,0.902,0.237,184333.0,0.377,"""2gZpW5pTZkimGG98loFSl2""",0.0,5.0,0.131,-8.798,1.0,0.0287,173.142,3.0,0.48
"""whats new pussycat""",1965.0,0.849,0.364,124067.0,0.591,"""4dx3Lqdq4WvUWx23d04tOl""",0.0,6.0,0.195,-8.251,0.0,0.269,184.018,3.0,0.59
"""eve of destruction""",1965.0,0.352,0.585,216813.0,0.414,"""1x95pWB3KeK3evKa1VrW6e""",0.0,2.0,0.102,-13.494,1.0,0.0442,116.483,4.0,0.784
"""hang on sloopy""",1965.0,0.167,0.764,231800.0,0.516,"""0i7O5MtSTXvR4BEY7stpjF""",0.0,7.0,0.0723,-12.099,1.0,0.0334,115.255,4.0,0.929
"""ticket to ride""",1965.0,0.0457,0.519,189680.0,0.85,"""7CZiDzGVjUssMSOXrDNYHL""",0.0,9.0,0.233,-6.777,1.0,0.0678,123.419,4.0,0.75
"""red roses for a blue lady""",1965.0,0.872,0.613,139653.0,0.306,"""4GXXOBUEpCr58TFHIkLrZ0""",0.687,7.0,0.142,-12.448,1.0,0.0319,117.724,4.0,0.328
"""papas got a brand new bag""",1965.0,0.493,0.746,125707.0,0.702,"""6v4gV9s0pnwKbmF1yk5knO""",0.0398,4.0,0.0964,-8.099,1.0,0.0766,129.434,4.0,0.904
"""game of love""",1965.0,0.0946,0.575,127093.0,0.843,"""0jUfBCWrfrZGueD8MjvgMo""",0.0,9.0,0.197,-4.298,1.0,0.0328,109.254,4.0,0.955
"""the name game""",1965.0,0.201,0.678,164867.0,0.811,"""1wQjtqCtUqvaV6CjPKIGdc""",3.99e-06,5.0,0.178,-7.419,0.0,0.123,163.761,4.0,0.938
"""i know a place""",1965.0,0.735,0.434,162600.0,0.722,"""7dQP6ESUYUMYUAnGkdyjXi""",1.16e-05,4.0,0.634,-9.637,1.0,0.0496,137.936,4.0,0.604
"""back in my arms again""",1965.0,0.156,0.719,176613.0,0.516,"""1cY6UYbPf4plUm3fpLZGWF""",0.0199,5.0,0.148,-9.005,1.0,0.0296,123.296,4.0,0.535
"""baby im yours""",1965.0,0.401,0.464,152733.0,0.398,"""5GInJChhrHyXmwb4tQFJJG""",0.0,6.0,0.064,-14.282,1.0,0.03,98.256,4.0,0.81
"""jolly green giant""",1965.0,0.619,0.527,119171.0,0.615,"""0WhJxcxyQOIK9iaH9GmpKv""",0.0,10.0,0.164,-8.497,1.0,0.0373,134.809,4.0,0.964
"""hush hush sweet charlotte""",1965.0,0.782,0.335,152360.0,0.163,"""7piKtR55k2SsnV7I01ncNI""",0.0,10.0,0.316,-17.254,1.0,0.031,84.315,4.0,0.523
"""like a rolling stone""",1965.0,0.729,0.483,369600.0,0.721,"""3AhXZa8sUQht0UEdBJgpGc""",0.0,0.0,0.189,-6.836,1.0,0.032,95.261,4.0,0.561
"""im telling you now""",1965.0,0.378,0.605,128907.0,0.699,"""2Y4uWO8r9f3YfqBT6nCEg3""",0.0,3.0,0.305,-6.875,1.0,0.0317,71.38,4.0,0.889
